AccX, AccY, AccZ, variable(xyz), isBump, Threshold High, Threshold Low, Car, GyrX, GyrY, GyrZ, latitude, longitude, timestamp, accuracy (m)
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.0, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.6, 3.2, 8.9, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.6, 3.2, 8.9, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.6, 3.2, 8.9, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.6, 3.2, 8.9, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.6, 3.2, 8.9, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.6, 3.2, 8.9, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.6, 3.2, 8.9, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.3, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.6, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.6, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.6, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.6, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.4, 3.4, 9.6, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.3, 10.0, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.3, 10.0, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.3, 10.0, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.3, 10.0, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.3, 10.0, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.2, 10.2, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.2, 10.2, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.2, 10.2, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.2, 10.2, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.5, 3.2, 10.2, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.3, 3.3, 10.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.3, 3.3, 10.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.3, 3.3, 10.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.3, 3.3, 10.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.3, 3.3, 10.1, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.0, 3.5, 9.5, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.0, 3.5, 9.5, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.0, 3.5, 9.5, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.0, 3.5, 9.5, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-1.0, 3.5, 9.5, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-0.8, 3.6, 9.2, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-0.8, 3.6, 9.2, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-0.8, 3.6, 9.2, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-0.8, 3.6, 9.2, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
-0.8, 3.6, 9.2, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, -0.0, 12.929927, 77.614907, 18 Jan 2017 23:54:21, 37.5
