AccX, AccY, AccZ, variable(xyz), isBump, Threshold High, Threshold Low, Car, GyrX, GyrY, GyrZ, latitude, longitude, timestamp, accuracy (m)
3.0, 0.4, 9.4, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.0, 0.0, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
3.0, 0.4, 9.4, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.0, 0.0, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
3.0, 0.4, 9.4, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.0, 0.0, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
3.0, 0.4, 9.4, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.0, 0.0, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
3.0, 0.4, 9.4, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.1, 0.0, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
3.1, 0.5, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.1, 0.0, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
3.1, 0.5, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.1, 0.0, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
3.1, 0.5, 8.8, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.1, 0.0, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
2.9, 0.1, 10.0, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.1, 0.0, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
2.9, 0.1, 10.0, Z, 0, 12.5, 7.5, zen 1000, 0.0, -0.1, -0.1, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
2.9, 0.1, 10.0, Z, 0, 12.5, 7.5, zen 1000, 0.0, -0.1, -0.1, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
2.9, 0.1, 10.0, Z, 0, 12.5, 7.5, zen 1000, 0.0, -0.1, -0.1, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
2.9, 0.1, 10.0, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.1, 0.0, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
1.7, 0.3, 8.6, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.1, 0.0, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
1.7, 0.3, 8.6, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.2, 0.1, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
1.7, 0.3, 8.6, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.2, 0.1, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
1.7, 0.3, 8.6, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.2, 0.1, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
1.7, 0.3, 8.6, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.2, 0.1, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
1.7, 0.4, 9.5, Z, 0, 12.5, 7.5, zen 1000, -0.0, 0.2, 0.1, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
1.7, 0.4, 9.5, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.1, 0.1, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
1.7, 0.4, 9.5, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.1, 0.1, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
1.7, 0.4, 9.5, Z, 0, 12.5, 7.5, zen 1000, -0.0, -0.0, 0.2, 12.931931, 77.614053, 18 Jan 2017 00:09:21, 700.0
